name,line_index,default_value,minimum,maximum,suggested_step,struct_field,unit,notes
tree_albedo,3,2.50000000e-01,0.05,0.3,0.025,albedo,fraction,樹冠短波反射率
tree_alloc_abg,5,5.50000000e-01,0.1,0.9,0.08,alloc_abg,fraction,葉以外を幹/根へ比率配分
tree_phenoltype,6,1.00000000e+00,1.0,1.0,0.0,phenoltype,category,常緑/落葉
tree_ctmp_lfdsp,7,1.00000000e+00,0.0,7.0,0.7,ctmp_lfdsp,℃,展葉トリガー温度
tree_ctmp_lfshd,8,1.20000000e+01,5.0,20.0,1.5,ctmp_lfshd,℃,落葉トリガー温度
tree_phototype,9,3.00000000e+00,3.0,3.0,0.0,phototype,category,C3/C4/CAM 選択
tree_sla,10,1.70000000e+02,50.0,300.0,25.0,sla,cm2 g-1,葉炭素→LAI 換算
tree_ek0,11,5.00000000e-01,0.1,0.9,0.08,ek0,scaler,キャノピー光減衰
tree_lue,12,5.20000000e-02,0.02,0.08,0.006,lue,mol CO2 mol photon-1,量子収率初期値
tree_pmax,13,2.00000000e+01,5.0,30.0,2.5,pmax,μmol CO2 m-2 s-1,光飽和同化速度
tree_topt,14,2.50000000e+01,10.0,30.0,2.0,topt,℃,温度応答ピーク
tree_tmin,15,5.00000000e+00,-5.0,9.999,1.4999,tmin,℃,温度応答下限
tree_tmax,16,4.50000000e+01,30.0,48.0,1.8,tmax,℃,温度応答上限
tree_gs_b0,17,1.00000000e+01,1.0,70.0,6.9,gs_b0,mmol H2O m-2 s-1,最小気孔コンダクタンス
tree_gs_b1,18,1.25000000e+04,3000.0,20000.0,1700.0,gs_b1,mmol H2O m-2 s-1,同化量への感度
tree_gs_b2,19,4.90000000e+00,4.0,50.0,4.6,gs_b2,hPa,VPD 感度
tree_km_nstl,20,3.00000000e-01,0.1,0.6,0.05,km_nstl,scaler,非気孔制限の水分係数 GMD saito2014から情報取れる
tree_kmci,21,3.00000000e+01,30.0,450.0,42.0,kmci,ppmv,CO2 半飽和濃度
tree_cmpcd0,22,5.00000000e+01,20.0,90.0,7.0,cmpcd0,ppmv,CO2 補償点基準
tree_rgf,23,4.00000000e-01,0.1,0.5,0.04,rgf,gC gC-1,葉成長呼吸係数
tree_rgc,24,2.50000000e-01,0.1,0.5,0.04,rgc,gC gC-1,幹成長呼吸係数
tree_rgr,25,3.50000000e-01,0.1,0.5,0.04,rgr,gC gC-1,根成長呼吸係数
tree_rmf0,26,1.57000000e+00,0.05,2.0,0.195,rmf0,mgC gC-1 day-1,葉維持呼吸係数
tree_rmc_s,27,2.50000000e-01,0.005,0.5,0.0495,rmc_s,mgC gC-1 day-1,サップ材維持呼吸
tree_rmr_s,28,3.50000000e-01,0.005,0.05,0.0045000000000000005,rmr_s,mgC gC-1 day-1,細根維持呼吸
tree_rmc_h,29,1.40000000e-02,0.05,2.0,0.195,rmc_h,mgC gC-1 day-1,心材維持呼吸
tree_rmr_h,30,5.50000000e-02,0.005,0.5,0.0495,rmr_h,mgC gC-1 day-1,太根維持呼吸
tree_qtf0,31,2.00000000e+00,1.0,3.0,0.2,qtf0,scaler,葉維持呼吸 Q10
tree_qtc0,32,2.00000000e+00,1.0,3.0,0.2,qtc0,scaler,幹維持呼吸 Q10
tree_qtr0,33,2.00000000e+00,1.0,3.0,0.2,qtr0,scaler,根維持呼吸 Q10
tree_f_sz_s,34,4.00000000e+01,5.0,300.0,29.5,f_sz_s,Mg C,幹サイズ効果
tree_f_sz_r,35,1.50000000e+01,1.0,80.0,7.9,f_sz_r,Mg C,根サイズ効果
tree_lf0,36,4.50000000e-04,0.0,0.005,0.0005,lf0,day-1,葉リター率
tree_lc0,37,9.50000000e-05,0.0,0.005,0.0005,lc0,day-1,幹リター率
tree_lr0,38,3.00000000e-04,0.0,0.005,0.0005,lr0,day-1,根リター率
tree_dcd,39,1.20000000e-01,0.01,0.2,0.019,dcd,day-1,季節落葉係数
tree_root_spt_a,40,5.99000000e+00,3.0,10.0,0.7,root_spt_a,scaler,浅根重み
tree_root_spt_b,41,1.95500000e+00,0.5,5.0,0.45,root_spt_b,scaler,深根重み
c3_albedo,43,2.00000000e-01,0.05,0.3,0.025,albedo,fraction,樹冠短波反射率
c3_alloc_abg,45,5.00000000e-01,0.1,0.9,0.08,alloc_abg,fraction,葉以外を幹/根へ比率配分
c3_phenoltype,46,1.00000000e+00,1.0,1.0,0.0,phenoltype,category,落葉/常緑
c3_ctmp_lfdsp,47,1.00000000e+00,0.0,7.0,0.7,ctmp_lfdsp,℃,展葉トリガー温度
c3_ctmp_lfshd,48,1.20000000e+01,5.0,20.0,1.5,ctmp_lfshd,℃,落葉トリガー温度
c3_phototype,49,3.00000000e+00,3.0,3.0,0.0,phototype,category,C3/C4/CAM
c3_sla,50,1.90000000e+02,30.0,350.0,32.0,sla,cm2 g-1,葉炭素→LAI 換算
c3_ek0,51,7.00000000e-01,50.0,300.0,25.0,ek0,scaler,キャノピー光減衰
c3_lue,52,6.00000000e-02,0.02,0.08,0.006,lue,mol CO2 mol photon-1,量子収率初期値
c3_pmax,53,1.40000000e+01,8.0,30.0,2.2,pmax,μmol CO2 m-2 s-1,光飽和同化速度
c3_topt,54,2.50000000e+01,10.0,35.0,2.5,topt,℃,温度応答ピーク
c3_tmin,55,5.00000000e+00,-5.0,20.0,2.5,tmin,℃,温度応答下限
c3_tmax,56,4.50000000e+01,25.0,50.0,2.5,tmax,℃,温度応答上限
c3_gs_b0,57,1.00000000e+01,1.0,70.0,6.9,gs_b0,mmol H2O m-2 s-1,最小気孔コンダクタンス
c3_gs_b1,58,1.22000000e+04,3000.0,20000.0,1700.0,gs_b1,mmol H2O m-2 s-1,同化量への感度
c3_gs_b2,59,4.90000000e+00,4.0,50.0,4.6,gs_b2,hPa,VPD 感度
c3_km_nstl,60,2.50000000e-01,0.1,0.6,0.05,km_nstl,scaler,非気孔制限の水分係数
c3_kmci,61,3.00000000e+01,30.0,450.0,42.0,kmci,ppmv,CO2 半飽和濃度
c3_cmpcd0,62,5.00000000e+01,20.0,90.0,7.0,cmpcd0,ppmv,CO2 補償点基準
c3_rgf,63,3.50000000e-01,0.1,0.5,0.04,rgf,gC gC-1,葉成長呼吸係数
c3_rgc,64,2.00000000e-01,0.1,0.5,0.04,rgc,gC gC-1,幹成長呼吸係数
c3_rgr,65,2.50000000e-01,0.1,0.5,0.04,rgr,gC gC-1,根成長呼吸係数
c3_rmf0,66,1.20000000e+00,0.01,2.0,0.199,rmf0,mgC gC-1 day-1,葉維持呼吸係数
c3_rmc_s,67,3.00000000e-02,0.005,0.5,0.0495,rmc_s,mgC gC-1 day-1,サップ材維持呼吸
c3_rmr_s,68,2.00000000e-01,0.005,0.05,0.0045000000000000005,rmr_s,mgC gC-1 day-1,細根維持呼吸
c3_rmc_h,69,9.00000000e-03,0.05,2.0,0.195,rmc_h,mgC gC-1 day-1,心材維持呼吸
c3_rmr_h,70,1.20000000e-01,0.005,0.5,0.0495,rmr_h,mgC gC-1 day-1,太根維持呼吸
c3_qtf0,71,2.00000000e+00,1.0,3.0,0.2,qtf0,scaler,葉維持呼吸 Q10
c3_qtc0,72,2.00000000e+00,1.0,3.0,0.2,qtc0,scaler,幹維持呼吸 Q10
c3_qtr0,73,2.00000000e+00,1.0,3.0,0.2,qtr0,scaler,根維持呼吸 Q10
c3_f_sz_s,74,4.00000000e+01,5.0,300.0,29.5,f_sz_s,Mg C,幹サイズ効果
c3_f_sz_r,75,1.50000000e+01,1.0,80.0,7.9,f_sz_r,Mg C,根サイズ効果
c3_lf0,76,5.00000000e-04,0.0,0.005,0.0005,lf0,day-1,葉リター率
c3_lc0,77,5.00000000e-04,0.0,0.005,0.0005,lc0,day-1,幹リター率
c3_lr0,78,5.00000000e-04,0.0,0.005,0.0005,lr0,day-1,根リター率
c3_dcd,79,0.00000000e+00,0.0,0.0,0.0,dcd,day-1,季節落葉係数
c3_root_spt_a,80,5.99000000e+00,3.0,10.0,0.7,root_spt_a,scaler,浅根重み
c3_root_spt_b,81,1.95500000e+00,0.5,5.0,0.45,root_spt_b,scaler,深根重み
c4_kmci,101,1.00000000e+01,5.0,200.0,19.5,kmci,ppmv,CO2 半飽和濃度
c4_cmpcd0,102,5.00000000e+00,0.1,15.0,1.49,cmpcd0,ppmv,CO2 補償点基準
c4_dcd,119,0.00000000e+00,0.0,0.0,0.0,dcd,day-1,季節落葉係数
soil_albedo0,123,1.50000000e-01,0.05,0.45,0.04,albedo0,fraction,土壌反射率
soil_sr_lf,124,1.50000000e+00,0.3,10.0,0.97,sr_lf,‰ day-1,葉リター分解速度
soil_sr_lc,125,5.00000000e-01,0.3,10.0,0.97,sr_lc,‰ day-1,幹リター分解速度
soil_sr_lr,126,1.20000000e+00,0.3,10.0,0.97,sr_lr,‰ day-1,根リター分解速度
soil_sr_ha,127,2.50000000e-01,0.2,4.0,0.38,sr_ha,‰ day-1,活性腐植分解
soil_sr_hi,128,1.25000000e-01,0.02,0.4,0.038,sr_hi,‰ day-1,中間腐植分解
soil_sr_hp,129,6.75000000e-02,0.001,0.05,0.0049,sr_hp,‰ day-1,受動腐植分解
soil_kml,130,2.20000000e-01,0.05,0.9,0.08499999999999999,kml,scaler,リターの水分スカラー
soil_kmh,131,1.00000000e-01,0.05,0.9,0.08499999999999999,kmh,scaler,腐植の水分スカラー
soil_kmsl,132,2.10000000e-01,0.05,0.9,0.08499999999999999,kmsl,scaler,リター嫌気制限
soil_kmsh,133,7.00000000e-02,0.05,0.9,0.08499999999999999,kmsh,scaler,腐植嫌気制限
soil_f_co2_lf,134,5.00000000e-01,0.3,0.9,0.06000000000000001,f_co2_lf,fraction,葉リターのCO2分配
soil_f_co2_lc,135,5.00000000e-01,0.3,0.9,0.06000000000000001,f_co2_lc,fraction,幹リターのCO2分配
soil_f_co2_lr,136,5.00000000e-01,0.3,0.9,0.06000000000000001,f_co2_lr,fraction,根リターのCO2分配
soil_f_hm_a,137,6.00000000e-01,0.3,0.8,0.05,f_hm_a,fraction,活性腐植配分
soil_f_hm_i,138,3.00000000e-01,0.1,0.6,0.05,f_hm_i,fraction,中間腐植配分
soil_f_hm_p,139,1.00000000e-01,0.0,1.0,0.1,f_hm_p,fraction,遅速腐植配分 (1-a-iで決定)
over_ke_d,141,7.19000000e-01,0.3,0.9,0.06000000000000001,ke_d,scaler,拡散光減衰係数
