sample_id,status,elapsed_sec,annual_file,n_years,notes,mean_GPP,mean_NEP,mean_ER,mean_NPP
0,success,5.6,sample_0000/LHP_20250919_annual.txt,10,,31.889300000000002,1.1415,30.747899999999998,19.477700000000002
1,success,5.9,sample_0001/LHP_20250919_annual.txt,10,,31.889300000000002,1.1415,30.747899999999998,19.477700000000002
2,success,5.8,sample_0002/LHP_20250919_annual.txt,10,,22.550900000000002,0.9199999999999999,21.6308,13.3693
3,success,3.7,sample_0003/LHP_20250919_annual.txt,10,,22.551,0.9198000000000001,21.631,13.369399999999999
4,success,5.5,sample_0004/LHP_20250919_annual.txt,10,,22.551,0.9198000000000001,21.631,13.369399999999999
5,success,5.8,sample_0005/LHP_20250919_annual.txt,10,,22.551,0.9198000000000001,21.631,13.3693
6,success,5.7,sample_0006/LHP_20250919_annual.txt,10,,22.513399999999997,0.9192,21.5944,13.3513
7,success,5.7,sample_0007/LHP_20250919_annual.txt,10,,22.513399999999997,0.9192,21.5944,13.3513
8,success,5.6,sample_0008/LHP_20250919_annual.txt,10,,22.5139,0.9196,21.5944,13.3523
9,success,3.9,sample_0009/LHP_20250919_annual.txt,10,,22.5139,-1.7079999999999997,24.222,13.3523
10,success,5.7,sample_0010/LHP_20250919_annual.txt,10,,22.5139,-1.7079999999999997,24.222,13.3523
11,success,5.7,sample_0011/LHP_20250919_annual.txt,10,,22.5389,-1.7096,24.2486,13.364600000000001
12,success,5.9,sample_0012/LHP_20250919_annual.txt,10,,22.5389,-1.7096,24.2486,13.364600000000001
13,success,5.7,sample_0013/LHP_20250919_annual.txt,10,,22.5389,-1.7096,24.2486,13.364600000000001
14,success,3.6,sample_0014/LHP_20250919_annual.txt,10,,22.534,-1.6958000000000002,24.2297,13.273499999999999
15,success,5.6,sample_0015/LHP_20250919_annual.txt,10,,22.534,-1.6958000000000002,24.2297,13.273499999999999
16,success,5.6,sample_0016/LHP_20250919_annual.txt,10,,22.534,-1.6958000000000002,24.2297,13.273499999999999
17,success,5.8,sample_0017/LHP_20250919_annual.txt,10,,22.5243,-1.6954,24.2198,13.269200000000001
18,success,5.8,sample_0018/LHP_20250919_annual.txt,10,,22.561500000000002,-1.6974,24.2591,13.2874
19,success,5.8,sample_0019/LHP_20250919_annual.txt,10,,22.561500000000002,-1.6974,24.2591,13.2874
20,success,3.8,sample_0020/LHP_20250919_annual.txt,10,,22.5677,-1.698,24.265700000000002,13.2904
21,success,5.8,sample_0021/LHP_20250919_annual.txt,10,,22.5677,-1.698,24.265700000000002,13.2904
22,success,4.7,sample_0022/LHP_20250919_annual.txt,10,,35.7864,-2.8036000000000003,38.5899,20.3108
23,success,4.6,sample_0023/LHP_20250919_annual.txt,10,,35.7868,-2.8027,38.5892,20.3029
